Config: 
--------------------------------------------
leader L2 of team T0 discovered at 35538.000000 that M39 is in danger (after 11945ms proces-to-process, 9620ms node-to-node, 4hops, 3versions (12 first, 15 discovered)
leader L1 of team T0 discovered at 23759.000000 that M18 is in danger (after 7507ms proces-to-process, 6612ms node-to-node, 3hops, 1versions (7 first, 8 discovered)

Results: 
-----------------------------
Process-2-process response time: avg=8401.228261, min=305, max=22619, median=8123
Node-2-node response time: avg=6786.217391, min=34, max=22352, median=6251
Hops: avg=4.032609, min=1, max=9, median=4
Process-2-process response time / 1 hop: avg=2304.076087, min=152, max=7970, median=2099
Node-2-node response time / 1 hop: avg=1808.880435, min=34, max=6642, median=1598
Version difference: avg=0.967391, min=0, max=8, median=1
Ratio of leader discoveries: 184 of 184 (100.000000%)
Ratio of discoveries regardless the number of leaders: 46 of 46 (100.000000%)
