Config: 
--------------------------------------------
leader L16 of team T8 discovered at 29377.000000 that M152 is in danger (after 889ms proces-to-process, 229ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L10 of team T5 discovered at 48331.000000 that M112 is in danger (after 25988ms proces-to-process, 23509ms node-to-node, 3hops, 5versions (11 first, 16 discovered)
leader L10 of team T5 discovered at 42661.000000 that M102 is in danger (after 14848ms proces-to-process, 14324ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L11 of team T5 discovered at 38987.000000 that M99 is in danger (after 18462ms proces-to-process, 15867ms node-to-node, 5hops, 5versions (10 first, 15 discovered)
leader L11 of team T5 discovered at 32950.000000 that M98 is in danger (after 10097ms proces-to-process, 9967ms node-to-node, 10hops, 0versions (10 first, 10 discovered)
leader L11 of team T5 discovered at 31029.000000 that M100 is in danger (after 9505ms proces-to-process, 7832ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L11 of team T5 discovered at 47034.000000 that M101 is in danger (after 21530ms proces-to-process, 20450ms node-to-node, 11hops, 4versions (11 first, 15 discovered)
leader L11 of team T5 discovered at 38987.000000 that M106 is in danger (after 15088ms proces-to-process, 13822ms node-to-node, 8hops, 2versions (11 first, 13 discovered)
leader L11 of team T5 discovered at 25619.000000 that M107 is in danger (after 9277ms proces-to-process, 7702ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L11 of team T5 never discovered that M104 is in danger from 23044.
leader L11 of team T5 discovered at 38140.000000 that M103 is in danger (after 18201ms proces-to-process, 16390ms node-to-node, 10hops, 1versions (10 first, 11 discovered)
leader L11 of team T5 discovered at 39508.000000 that M108 is in danger (after 20914ms proces-to-process, 18518ms node-to-node, 5hops, 5versions (9 first, 14 discovered)
leader L11 of team T5 discovered at 42570.000000 that M93 is in danger (after 17828ms proces-to-process, 16862ms node-to-node, 8hops, 3versions (11 first, 14 discovered)
leader L11 of team T5 discovered at 28014.000000 that M105 is in danger (after 7395ms proces-to-process, 5146ms node-to-node, 2hops, 2versions (10 first, 12 discovered)
leader L11 of team T5 discovered at 38987.000000 that M95 is in danger (after 13391ms proces-to-process, 11012ms node-to-node, 4hops, 2versions (12 first, 14 discovered)
leader L11 of team T5 discovered at 41031.000000 that M94 is in danger (after 14334ms proces-to-process, 13998ms node-to-node, 11hops, 1versions (12 first, 13 discovered)
leader L11 of team T5 discovered at 47034.000000 that M97 is in danger (after 27042ms proces-to-process, 24299ms node-to-node, 13hops, 5versions (9 first, 14 discovered)
leader L11 of team T5 discovered at 59961.000000 that M96 is in danger (after 31987ms proces-to-process, 31447ms node-to-node, 6hops, 7versions (13 first, 20 discovered)
leader L11 of team T5 discovered at 56222.000000 that M112 is in danger (after 33879ms proces-to-process, 31286ms node-to-node, 4hops, 6versions (11 first, 17 discovered)
leader L11 of team T5 discovered at 51381.000000 that M102 is in danger (after 23568ms proces-to-process, 23276ms node-to-node, 10hops, 2versions (13 first, 15 discovered)
leader L4 of team T2 discovered at 17080.000000 that M55 is in danger (after 825ms proces-to-process, 7ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 26687.000000 that M52 is in danger (after 2974ms proces-to-process, 2195ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 never discovered that M48 is in danger from 19793.
leader L4 of team T2 discovered at 32520.000000 that M49 is in danger (after 13921ms proces-to-process, 10792ms node-to-node, 3hops, 2versions (9 first, 11 discovered)
leader L4 of team T2 discovered at 24538.000000 that M51 is in danger (after 3869ms proces-to-process, 1406ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L4 of team T2 discovered at 20587.000000 that M50 is in danger (after 3586ms proces-to-process, 1944ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 43957.000000 that M39 is in danger (after 20364ms proces-to-process, 17589ms node-to-node, 10hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 41153.000000 that M38 is in danger (after 15397ms proces-to-process, 14823ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 never discovered that M42 is in danger from 29851.
leader L4 of team T2 discovered at 40424.000000 that M43 is in danger (after 19289ms proces-to-process, 16286ms node-to-node, 8hops, 3versions (11 first, 14 discovered)
leader L4 of team T2 discovered at 19629.000000 that M53 is in danger (after 3955ms proces-to-process, 1952ms node-to-node, 3hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 49619.000000 that M41 is in danger (after 22392ms proces-to-process, 21062ms node-to-node, 7hops, 3versions (12 first, 15 discovered)
leader L4 of team T2 discovered at 48640.000000 that M46 is in danger (after 23137ms proces-to-process, 22517ms node-to-node, 10hops, 4versions (12 first, 16 discovered)
leader L4 of team T2 discovered at 54949.000000 that M47 is in danger (after 37526ms proces-to-process, 35105ms node-to-node, 9hops, 8versions (8 first, 16 discovered)
leader L4 of team T2 never discovered that M44 is in danger from 24415.
leader L4 of team T2 discovered at 50358.000000 that M45 is in danger (after 27970ms proces-to-process, 27076ms node-to-node, 11hops, 6versions (11 first, 17 discovered)
leader L5 of team T2 never discovered that M55 is in danger from 16255.
leader L5 of team T2 never discovered that M52 is in danger from 23713.
leader L5 of team T2 never discovered that M48 is in danger from 19793.
leader L5 of team T2 never discovered that M49 is in danger from 18599.
leader L5 of team T2 never discovered that M51 is in danger from 20669.
leader L5 of team T2 never discovered that M50 is in danger from 17001.
leader L5 of team T2 never discovered that M39 is in danger from 23593.
leader L5 of team T2 never discovered that M38 is in danger from 25756.
leader L5 of team T2 never discovered that M42 is in danger from 29851.
leader L5 of team T2 never discovered that M43 is in danger from 21135.
leader L5 of team T2 never discovered that M53 is in danger from 15674.
leader L5 of team T2 never discovered that M41 is in danger from 27227.
leader L5 of team T2 never discovered that M46 is in danger from 25503.
leader L5 of team T2 never discovered that M47 is in danger from 17423.
leader L5 of team T2 never discovered that M44 is in danger from 24415.
leader L5 of team T2 never discovered that M45 is in danger from 22388.
leader L6 of team T3 discovered at 35728.000000 that M60 is in danger (after 10292ms proces-to-process, 10186ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 never discovered that M54 is in danger from 18513.
leader L6 of team T3 discovered at 27688.000000 that M57 is in danger (after 1806ms proces-to-process, 1555ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 21425.000000 that M56 is in danger (after 2303ms proces-to-process, 500ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L6 of team T3 discovered at 41429.000000 that M64 is in danger (after 14419ms proces-to-process, 14003ms node-to-node, 7hops, 2versions (13 first, 15 discovered)
leader L6 of team T3 discovered at 26297.000000 that M65 is in danger (after 989ms proces-to-process, 35ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 39318.000000 that M66 is in danger (after 11100ms proces-to-process, 8893ms node-to-node, 8hops, 0versions (14 first, 14 discovered)
leader L6 of team T3 discovered at 32297.000000 that M61 is in danger (after 2295ms proces-to-process, 450ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L6 of team T3 discovered at 34251.000000 that M62 is in danger (after 16170ms proces-to-process, 13966ms node-to-node, 9hops, 2versions (8 first, 10 discovered)
leader L6 of team T3 discovered at 48568.000000 that M69 is in danger (after 28075ms proces-to-process, 25278ms node-to-node, 8hops, 3versions (10 first, 13 discovered)
leader L6 of team T3 discovered at 59172.000000 that M67 is in danger (after 39570ms proces-to-process, 38895ms node-to-node, 11hops, 7versions (8 first, 15 discovered)
leader L6 of team T3 discovered at 54596.000000 that M59 is in danger (after 27546ms proces-to-process, 25495ms node-to-node, 11hops, 4versions (14 first, 18 discovered)
leader L6 of team T3 discovered at 41429.000000 that M58 is in danger (after 12468ms proces-to-process, 12269ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L6 of team T3 discovered at 38232.000000 that M71 is in danger (after 11159ms proces-to-process, 9183ms node-to-node, 8hops, 1versions (13 first, 14 discovered)
leader L6 of team T3 never discovered that M72 is in danger from 29584.
leader L6 of team T3 never discovered that M68 is in danger from 22724.
leader L6 of team T3 discovered at 44846.000000 that M73 is in danger (after 22942ms proces-to-process, 21166ms node-to-node, 11hops, 2versions (10 first, 12 discovered)
leader L6 of team T3 discovered at 39318.000000 that M63 is in danger (after 14815ms proces-to-process, 13383ms node-to-node, 4hops, 4versions (12 first, 16 discovered)
leader L6 of team T3 discovered at 49583.000000 that M70 is in danger (after 27272ms proces-to-process, 25964ms node-to-node, 6hops, 8versions (10 first, 18 discovered)
leader L6 of team T3 never discovered that M74 is in danger from 23647.
leader L7 of team T3 discovered at 29483.000000 that M60 is in danger (after 4047ms proces-to-process, 3661ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L7 of team T3 never discovered that M54 is in danger from 18513.
leader L7 of team T3 discovered at 33030.000000 that M57 is in danger (after 7148ms proces-to-process, 6998ms node-to-node, 3hops, 3versions (12 first, 15 discovered)
leader L7 of team T3 discovered at 22221.000000 that M56 is in danger (after 3099ms proces-to-process, 1475ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L7 of team T3 discovered at 33030.000000 that M64 is in danger (after 6020ms proces-to-process, 5258ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L7 of team T3 discovered at 30055.000000 that M65 is in danger (after 4747ms proces-to-process, 3908ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L7 of team T3 discovered at 49180.000000 that M66 is in danger (after 20962ms proces-to-process, 18622ms node-to-node, 7hops, 3versions (14 first, 17 discovered)
leader L7 of team T3 discovered at 33030.000000 that M61 is in danger (after 3028ms proces-to-process, 1703ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L7 of team T3 discovered at 26262.000000 that M62 is in danger (after 8181ms proces-to-process, 5078ms node-to-node, 3hops, 1versions (8 first, 9 discovered)
leader L7 of team T3 discovered at 41933.000000 that M69 is in danger (after 21440ms proces-to-process, 18952ms node-to-node, 4hops, 3versions (10 first, 13 discovered)
leader L7 of team T3 discovered at 32446.000000 that M67 is in danger (after 12844ms proces-to-process, 12243ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L7 of team T3 discovered at 54596.000000 that M59 is in danger (after 27546ms proces-to-process, 25712ms node-to-node, 11hops, 4versions (14 first, 18 discovered)
leader L7 of team T3 discovered at 39734.000000 that M58 is in danger (after 10773ms proces-to-process, 9880ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L7 of team T3 discovered at 38517.000000 that M71 is in danger (after 11444ms proces-to-process, 9499ms node-to-node, 8hops, 1versions (13 first, 14 discovered)
leader L7 of team T3 never discovered that M72 is in danger from 29584.
leader L7 of team T3 discovered at 54596.000000 that M68 is in danger (after 31872ms proces-to-process, 31593ms node-to-node, 4hops, 7versions (10 first, 17 discovered)
leader L7 of team T3 discovered at 50249.000000 that M73 is in danger (after 28345ms proces-to-process, 26128ms node-to-node, 5hops, 5versions (10 first, 15 discovered)
leader L7 of team T3 discovered at 37728.000000 that M63 is in danger (after 13225ms proces-to-process, 11417ms node-to-node, 3hops, 2versions (12 first, 14 discovered)
leader L7 of team T3 discovered at 50249.000000 that M70 is in danger (after 27938ms proces-to-process, 26534ms node-to-node, 7hops, 8versions (10 first, 18 discovered)
leader L7 of team T3 discovered at 56715.000000 that M74 is in danger (after 33068ms proces-to-process, 31527ms node-to-node, 9hops, 8versions (12 first, 20 discovered)
leader L0 of team T0 discovered at 33639.000000 that M11 is in danger (after 10226ms proces-to-process, 8650ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 21247.000000 that M21 is in danger (after 3600ms proces-to-process, 2613ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L0 of team T0 discovered at 38468.000000 that M17 is in danger (after 10056ms proces-to-process, 7993ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 25671.000000 that M10 is in danger (after 5953ms proces-to-process, 4799ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 33176.000000 that M16 is in danger (after 11744ms proces-to-process, 7726ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L0 of team T0 discovered at 24240.000000 that M13 is in danger (after 5998ms proces-to-process, 3408ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 29823.000000 that M18 is in danger (after 13571ms proces-to-process, 12952ms node-to-node, 7hops, 1versions (7 first, 8 discovered)
leader L0 of team T0 discovered at 22097.000000 that M5 is in danger (after 2540ms proces-to-process, 2374ms node-to-node, 1hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 never discovered that M4 is in danger from 22132.
leader L0 of team T0 discovered at 38468.000000 that M7 is in danger (after 8645ms proces-to-process, 7070ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L0 of team T0 discovered at 48391.000000 that M6 is in danger (after 25920ms proces-to-process, 24254ms node-to-node, 13hops, 1versions (11 first, 12 discovered)
leader L0 of team T0 discovered at 29195.000000 that M1 is in danger (after 4351ms proces-to-process, 3377ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 24240.000000 that M0 is in danger (after 3602ms proces-to-process, 2883ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 33176.000000 that M3 is in danger (after 14413ms proces-to-process, 12460ms node-to-node, 7hops, 2versions (9 first, 11 discovered)
leader L0 of team T0 discovered at 38468.000000 that M2 is in danger (after 11038ms proces-to-process, 8985ms node-to-node, 3hops, 3versions (13 first, 16 discovered)
leader L0 of team T0 discovered at 44631.000000 that M19 is in danger (after 15470ms proces-to-process, 14212ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 23509.000000 that M15 is in danger (after 4439ms proces-to-process, 2613ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 33639.000000 that M12 is in danger (after 7302ms proces-to-process, 6872ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 34418.000000 that M9 is in danger (after 4060ms proces-to-process, 3430ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L0 of team T0 discovered at 19212.000000 that M8 is in danger (after 1832ms proces-to-process, 1408ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L0 of team T0 discovered at 31697.000000 that M14 is in danger (after 11238ms proces-to-process, 10293ms node-to-node, 5hops, 2versions (9 first, 11 discovered)
leader L1 of team T0 discovered at 29745.000000 that M11 is in danger (after 6332ms proces-to-process, 4278ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 21883.000000 that M21 is in danger (after 4236ms proces-to-process, 3215ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L1 of team T0 discovered at 36560.000000 that M17 is in danger (after 8148ms proces-to-process, 6185ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 27889.000000 that M10 is in danger (after 8171ms proces-to-process, 6607ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 31772.000000 that M16 is in danger (after 10340ms proces-to-process, 5917ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 discovered at 27177.000000 that M13 is in danger (after 8935ms proces-to-process, 6420ms node-to-node, 7hops, 1versions (9 first, 10 discovered)
leader L1 of team T0 discovered at 31772.000000 that M18 is in danger (after 15520ms proces-to-process, 14156ms node-to-node, 9hops, 1versions (7 first, 8 discovered)
leader L1 of team T0 discovered at 36560.000000 that M5 is in danger (after 17003ms proces-to-process, 16524ms node-to-node, 5hops, 6versions (9 first, 15 discovered)
leader L1 of team T0 never discovered that M4 is in danger from 22132.
leader L1 of team T0 discovered at 37851.000000 that M7 is in danger (after 8028ms proces-to-process, 6467ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L1 of team T0 discovered at 43518.000000 that M6 is in danger (after 21047ms proces-to-process, 19431ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 discovered at 31772.000000 that M1 is in danger (after 6928ms proces-to-process, 5183ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 27002.000000 that M0 is in danger (after 6364ms proces-to-process, 5896ms node-to-node, 7hops, 1versions (9 first, 10 discovered)
leader L1 of team T0 discovered at 33220.000000 that M3 is in danger (after 14457ms proces-to-process, 12398ms node-to-node, 4hops, 4versions (9 first, 13 discovered)
leader L1 of team T0 discovered at 42286.000000 that M2 is in danger (after 14856ms proces-to-process, 12599ms node-to-node, 9hops, 3versions (13 first, 16 discovered)
leader L1 of team T0 discovered at 40766.000000 that M19 is in danger (after 11605ms proces-to-process, 10315ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 22622.000000 that M15 is in danger (after 3552ms proces-to-process, 2009ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 34740.000000 that M12 is in danger (after 8403ms proces-to-process, 7476ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 37019.000000 that M9 is in danger (after 6661ms proces-to-process, 6442ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L1 of team T0 discovered at 20576.000000 that M8 is in danger (after 3196ms proces-to-process, 2958ms node-to-node, 2hops, 1versions (8 first, 9 discovered)
leader L1 of team T0 discovered at 30195.000000 that M14 is in danger (after 9736ms proces-to-process, 9690ms node-to-node, 4hops, 2versions (9 first, 11 discovered)
leader L2 of team T1 discovered at 39768.000000 that M33 is in danger (after 12112ms proces-to-process, 10147ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L2 of team T1 discovered at 47550.000000 that M34 is in danger (after 17226ms proces-to-process, 16025ms node-to-node, 2hops, 2versions (14 first, 16 discovered)
leader L2 of team T1 discovered at 32655.000000 that M28 is in danger (after 7840ms proces-to-process, 5095ms node-to-node, 4hops, 2versions (12 first, 14 discovered)
leader L2 of team T1 discovered at 48514.000000 that M29 is in danger (after 24442ms proces-to-process, 23600ms node-to-node, 4hops, 6versions (11 first, 17 discovered)
leader L2 of team T1 discovered at 56604.000000 that M24 is in danger (after 26393ms proces-to-process, 23399ms node-to-node, 7hops, 6versions (15 first, 21 discovered)
leader L2 of team T1 discovered at 45039.000000 that M25 is in danger (after 16953ms proces-to-process, 14903ms node-to-node, 8hops, 2versions (14 first, 16 discovered)
leader L2 of team T1 discovered at 34984.000000 that M26 is in danger (after 4665ms proces-to-process, 2614ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L2 of team T1 discovered at 26743.000000 that M27 is in danger (after 3917ms proces-to-process, 2010ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L2 of team T1 discovered at 44507.000000 that M20 is in danger (after 16269ms proces-to-process, 14412ms node-to-node, 6hops, 3versions (13 first, 16 discovered)
leader L2 of team T1 discovered at 25851.000000 that M32 is in danger (after 4745ms proces-to-process, 3775ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
leader L2 of team T1 discovered at 24551.000000 that M22 is in danger (after 4561ms proces-to-process, 3172ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L2 of team T1 discovered at 38635.000000 that M23 is in danger (after 11908ms proces-to-process, 11139ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L2 of team T1 discovered at 26233.000000 that M37 is in danger (after 3301ms proces-to-process, 1772ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L2 of team T1 discovered at 29322.000000 that M40 is in danger (after 6057ms proces-to-process, 3569ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L2 of team T1 discovered at 24551.000000 that M31 is in danger (after 6806ms proces-to-process, 3699ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L2 of team T1 discovered at 19273.000000 that M36 is in danger (after 3628ms proces-to-process, 1377ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L2 of team T1 discovered at 31981.000000 that M30 is in danger (after 3601ms proces-to-process, 2613ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L2 of team T1 discovered at 34984.000000 that M35 is in danger (after 7109ms proces-to-process, 3271ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L3 of team T1 discovered at 54948.000000 that M33 is in danger (after 27292ms proces-to-process, 25454ms node-to-node, 9hops, 7versions (13 first, 20 discovered)
leader L3 of team T1 never discovered that M34 is in danger from 30324.
leader L3 of team T1 discovered at 36941.000000 that M28 is in danger (after 12126ms proces-to-process, 9543ms node-to-node, 5hops, 2versions (12 first, 14 discovered)
leader L3 of team T1 discovered at 52652.000000 that M29 is in danger (after 28580ms proces-to-process, 27605ms node-to-node, 5hops, 6versions (11 first, 17 discovered)
leader L3 of team T1 never discovered that M24 is in danger from 30211.
leader L3 of team T1 discovered at 51363.000000 that M25 is in danger (after 23277ms proces-to-process, 20961ms node-to-node, 11hops, 2versions (14 first, 16 discovered)
leader L3 of team T1 discovered at 40408.000000 that M26 is in danger (after 10089ms proces-to-process, 7702ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L3 of team T1 discovered at 46072.000000 that M27 is in danger (after 23246ms proces-to-process, 21352ms node-to-node, 7hops, 7versions (11 first, 18 discovered)
leader L3 of team T1 never discovered that M20 is in danger from 28238.
leader L3 of team T1 discovered at 23477.000000 that M32 is in danger (after 2371ms proces-to-process, 945ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L3 of team T1 discovered at 27481.000000 that M22 is in danger (after 7491ms proces-to-process, 5757ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L3 of team T1 discovered at 54426.000000 that M23 is in danger (after 27699ms proces-to-process, 26508ms node-to-node, 12hops, 3versions (12 first, 15 discovered)
leader L3 of team T1 discovered at 25326.000000 that M37 is in danger (after 2394ms proces-to-process, 335ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L3 of team T1 discovered at 25912.000000 that M40 is in danger (after 2647ms proces-to-process, 85ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L3 of team T1 discovered at 34281.000000 that M31 is in danger (after 16536ms proces-to-process, 13798ms node-to-node, 8hops, 1versions (9 first, 10 discovered)
leader L3 of team T1 discovered at 19800.000000 that M36 is in danger (after 4155ms proces-to-process, 1377ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L3 of team T1 discovered at 37763.000000 that M30 is in danger (after 9383ms proces-to-process, 8417ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L3 of team T1 discovered at 43898.000000 that M35 is in danger (after 16023ms proces-to-process, 12141ms node-to-node, 2hops, 4versions (14 first, 18 discovered)
leader L21 of team T10 discovered at 33664.000000 that M195 is in danger (after 3582ms proces-to-process, 2867ms node-to-node, 1hops, 0versions (15 first, 15 discovered)
leader L21 of team T10 discovered at 50324.000000 that M194 is in danger (after 33644ms proces-to-process, 29402ms node-to-node, 7hops, 9versions (8 first, 17 discovered)
leader L21 of team T10 never discovered that M197 is in danger from 25130.
leader L21 of team T10 discovered at 49551.000000 that M196 is in danger (after 31691ms proces-to-process, 30844ms node-to-node, 9hops, 8versions (8 first, 16 discovered)
leader L21 of team T10 discovered at 23707.000000 that M191 is in danger (after 3692ms proces-to-process, 3503ms node-to-node, 1hops, 1versions (8 first, 9 discovered)
leader L21 of team T10 discovered at 31296.000000 that M190 is in danger (after 640ms proces-to-process, 72ms node-to-node, 1hops, 0versions (15 first, 15 discovered)
leader L21 of team T10 discovered at 41343.000000 that M193 is in danger (after 11778ms proces-to-process, 8669ms node-to-node, 8hops, 0versions (15 first, 15 discovered)
leader L21 of team T10 discovered at 31296.000000 that M192 is in danger (after 8865ms proces-to-process, 7062ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L21 of team T10 discovered at 43350.000000 that M198 is in danger (after 16048ms proces-to-process, 15972ms node-to-node, 7hops, 3versions (12 first, 15 discovered)
leader L21 of team T10 discovered at 45490.000000 that M201 is in danger (after 22593ms proces-to-process, 19377ms node-to-node, 10hops, 2versions (11 first, 13 discovered)
leader L21 of team T10 discovered at 32973.000000 that M188 is in danger (after 14635ms proces-to-process, 13518ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L21 of team T10 discovered at 48457.000000 that M189 is in danger (after 32275ms proces-to-process, 31602ms node-to-node, 9hops, 8versions (7 first, 15 discovered)
leader L21 of team T10 discovered at 48653.000000 that M182 is in danger (after 20679ms proces-to-process, 19815ms node-to-node, 6hops, 5versions (13 first, 18 discovered)
leader L21 of team T10 discovered at 32421.000000 that M200 is in danger (after 13768ms proces-to-process, 11568ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L21 of team T10 discovered at 42256.000000 that M180 is in danger (after 20898ms proces-to-process, 20652ms node-to-node, 6hops, 4versions (9 first, 13 discovered)
leader L21 of team T10 discovered at 37254.000000 that M181 is in danger (after 11917ms proces-to-process, 9961ms node-to-node, 3hops, 2versions (13 first, 15 discovered)
leader L21 of team T10 discovered at 31778.000000 that M186 is in danger (after 7965ms proces-to-process, 6096ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L21 of team T10 discovered at 32973.000000 that M187 is in danger (after 17282ms proces-to-process, 14794ms node-to-node, 3hops, 2versions (7 first, 9 discovered)
leader L21 of team T10 discovered at 37973.000000 that M185 is in danger (after 16588ms proces-to-process, 14609ms node-to-node, 5hops, 3versions (10 first, 13 discovered)
leader L20 of team T10 discovered at 42839.000000 that M195 is in danger (after 12757ms proces-to-process, 12272ms node-to-node, 1hops, 4versions (15 first, 19 discovered)
leader L20 of team T10 discovered at 33452.000000 that M194 is in danger (after 16772ms proces-to-process, 12318ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L20 of team T10 discovered at 48806.000000 that M197 is in danger (after 23676ms proces-to-process, 21041ms node-to-node, 9hops, 4versions (12 first, 16 discovered)
leader L20 of team T10 discovered at 46840.000000 that M196 is in danger (after 28980ms proces-to-process, 27926ms node-to-node, 8hops, 6versions (8 first, 14 discovered)
leader L20 of team T10 discovered at 26808.000000 that M191 is in danger (after 6793ms proces-to-process, 6182ms node-to-node, 2hops, 1versions (8 first, 9 discovered)
leader L20 of team T10 discovered at 37361.000000 that M190 is in danger (after 6705ms proces-to-process, 6619ms node-to-node, 7hops, 0versions (15 first, 15 discovered)
leader L20 of team T10 discovered at 34662.000000 that M193 is in danger (after 5097ms proces-to-process, 2479ms node-to-node, 1hops, 1versions (15 first, 16 discovered)
leader L20 of team T10 discovered at 28829.000000 that M192 is in danger (after 6398ms proces-to-process, 5095ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L20 of team T10 discovered at 38536.000000 that M198 is in danger (after 11234ms proces-to-process, 11121ms node-to-node, 7hops, 1versions (12 first, 13 discovered)
leader L20 of team T10 discovered at 41285.000000 that M201 is in danger (after 18388ms proces-to-process, 15427ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L20 of team T10 discovered at 27971.000000 that M188 is in danger (after 9633ms proces-to-process, 8660ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L20 of team T10 discovered at 39481.000000 that M189 is in danger (after 23299ms proces-to-process, 22632ms node-to-node, 7hops, 8versions (7 first, 15 discovered)
leader L20 of team T10 discovered at 52992.000000 that M182 is in danger (after 25018ms proces-to-process, 24333ms node-to-node, 8hops, 8versions (13 first, 21 discovered)
leader L20 of team T10 discovered at 32362.000000 that M200 is in danger (after 13709ms proces-to-process, 11568ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L20 of team T10 discovered at 38277.000000 that M180 is in danger (after 16919ms proces-to-process, 16073ms node-to-node, 6hops, 2versions (9 first, 11 discovered)
